,w_geocode,h_geocode,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03,createdate,origin_lat,origin_lon,origin_county,dest_lat,dest_lon,dest_county,linestring
1426195,360470011001006,360470944011001,1,0,0,1,0,0,1,0,1,0,20170919,40.6396305,-73.9248529,"Kings County, NY",40.6919339,-73.98773,"Kings County, NY","LINESTRING(-73.9248529 40.6396305, -73.98773 40.6919339)"
3222513,360610033001009,360470129012001,1,0,0,1,0,0,1,1,0,0,20170919,40.6810353,-73.9789573,"Kings County, NY",40.7153368,-74.0064864,"New York County, NY","LINESTRING(-73.9789573 40.6810353, -74.0064864 40.7153368)"
5985699,360850291021050,360050300002000,1,1,0,0,1,0,0,0,0,1,20170919,40.8548883,-73.832062,"Bronx County, NY",40.6148356,-74.1754114,"Richmond County, NY","LINESTRING(-73.832062 40.8548883, -74.1754114 40.6148356)"
5985576,360850291021045,360850208042003,1,0,1,0,0,1,0,0,1,0,20170919,40.5418526,-74.2002643,"Richmond County, NY",40.6092034,-74.1858994,"Richmond County, NY","LINESTRING(-74.2002643 40.5418526, -74.1858994 40.6092034)"
5586600,360810480001009,360810792001004,2,0,1,1,1,1,0,0,0,2,20170919,40.6700378,-73.7957142,"Queens County, NY",40.7138889,-73.7752807,"Queens County, NY","LINESTRING(-73.7957142 40.6700378, -73.7752807 40.7138889)"
5550855,360810383021148,360470151001001,1,0,1,0,0,0,1,0,0,1,20170919,40.6654237,-73.9811501,"Kings County, NY",40.7478059,-73.850432,"Queens County, NY","LINESTRING(-73.9811501 40.6654237, -73.850432 40.7478059)"
1973668,360471070001003,360470364001001,1,0,1,0,0,0,1,0,0,1,20170919,40.5813432,-73.9613754,"Kings County, NY",40.655931,-73.8660144,"Kings County, NY","LINESTRING(-73.9613754 40.5813432, -73.8660144 40.655931)"
4563245,360610173007000,360610180004000,1,0,0,1,1,0,0,0,0,1,20170919,40.795885,-73.9400598,"New York County, NY",40.7863065,-73.9706944,"New York County, NY","LINESTRING(-73.9400598 40.795885, -73.9706944 40.7863065)"
372609,360050284001014,360810837001008,1,0,0,1,0,0,1,0,0,1,20170919,40.7419777,-73.8154821,"Queens County, NY",40.8474091,-73.8414029,"Bronx County, NY","LINESTRING(-73.8154821 40.7419777, -73.8414029 40.8474091)"
1649907,360470241002002,360470297002001,1,0,1,0,0,1,0,0,0,1,20170919,40.6803678,-73.9330337,"Kings County, NY",40.6900213,-73.9533663,"Kings County, NY","LINESTRING(-73.9330337 40.6803678, -73.9533663 40.6900213)"
1911929,360470768002004,360470760002002,2,1,0,1,0,2,0,0,0,2,20170919,40.6198102,-73.954747,"Kings County, NY",40.6173923,-73.9623008,"Kings County, NY","LINESTRING(-73.954747 40.6198102, -73.9623008 40.6173923)"
4693865,360610317042004,360050074002002,1,0,1,0,1,0,0,0,1,0,20170919,40.8208701,-73.8531936,"Bronx County, NY",40.7093231,-74.0173376,"New York County, NY","LINESTRING(-73.8531936 40.8208701, -74.0173376 40.7093231)"
3579079,360610076001001,360810096001002,1,0,0,1,0,1,0,0,1,0,20170919,40.6807293,-73.8318301,"Queens County, NY",40.7487635,-73.9863712,"New York County, NY","LINESTRING(-73.8318301 40.6807293, -73.9863712 40.7487635)"
1965542,360470974001008,360610293002000,1,0,1,0,0,0,1,0,0,1,20170919,40.8639923,-73.9200958,"New York County, NY",40.646161,-73.9020639,"Kings County, NY","LINESTRING(-73.9200958 40.8639923, -73.9020639 40.646161)"
3982823,360610102001003,360050090005000,1,0,1,0,0,1,0,0,1,0,20170919,40.8181315,-73.8462433,"Bronx County, NY",40.7603903,-73.974798,"New York County, NY","LINESTRING(-73.8462433 40.8181315, -73.974798 40.7603903)"
4144026,360610112021003,360610022011001,1,0,1,0,0,0,1,0,0,1,20170919,40.7204729,-73.9829039,"New York County, NY",40.7622905,-73.9734093,"New York County, NY","LINESTRING(-73.9829039 40.7204729, -73.9734093 40.7622905)"
5706754,360810769012002,360810713061001,1,0,1,0,0,1,0,0,0,1,20170919,40.7263949,-73.8581431,"Queens County, NY",40.7177233,-73.8377699,"Queens County, NY","LINESTRING(-73.8581431 40.7263949, -73.8377699 40.7177233)"
5655038,360810711002000,360470548001003,1,0,1,0,0,1,0,0,0,1,20170919,40.6102443,-73.9500407,"Kings County, NY",40.7212214,-73.8484441,"Queens County, NY","LINESTRING(-73.9500407 40.6102443, -73.8484441 40.7212214)"
473972,360050484002011,360050409002000,2,0,1,1,0,2,0,0,0,2,20170919,40.8784013,-73.887597,"Bronx County, NY",40.8871823,-73.8287863,"Bronx County, NY","LINESTRING(-73.887597 40.8784013, -73.8287863 40.8871823)"
3722699,360610088001000,360810925002007,1,0,1,0,0,0,1,0,0,1,20170919,40.7824495,-73.8481722,"Queens County, NY",40.7512802,-73.9726093,"New York County, NY","LINESTRING(-73.8481722 40.7824495, -73.9726093 40.7512802)"
268160,360050090002014,360850146043008,1,0,1,0,1,0,0,0,0,1,20170919,40.5497101,-74.1659301,"Richmond County, NY",40.8184844,-73.837519,"Bronx County, NY","LINESTRING(-74.1659301 40.5497101, -73.837519 40.8184844)"
469615,360050462013000,360470319001001,1,0,1,0,0,0,1,0,0,1,20170919,40.6684362,-73.9492504,"Kings County, NY",40.87716,-73.8289689,"Bronx County, NY","LINESTRING(-73.9492504 40.6684362, -73.8289689 40.87716)"
1720297,360470386001009,360850226004002,1,0,0,1,0,0,1,0,0,1,20170919,40.5252357,-74.2191713,"Richmond County, NY",40.5906998,-73.9720735,"Kings County, NY","LINESTRING(-74.2191713 40.5252357, -73.9720735 40.5906998)"
3542269,360610072004000,360810769012001,1,0,1,0,0,0,1,0,0,1,20170919,40.718189,-73.8386442,"Queens County, NY",40.7438522,-73.9805334,"New York County, NY","LINESTRING(-73.8386442 40.718189, -73.9805334 40.7438522)"
