,w_geocode,h_geocode,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03,createdate,origin_lat,origin_lon,origin_county,dest_lat,dest_lon,dest_county,linestring
4218851,360610115001002,360050323002000,2,1,1,0,0,1,1,0,0,2,20170919,40.907928,-73.9059414,"Bronx County, NY",40.7562378,-73.9923709,"New York County, NY","LINESTRING(-73.9059414 40.907928, -73.9923709 40.7562378)"
3928180,360610100001003,360470276002000,1,0,1,0,0,0,1,0,0,1,20170919,40.6115165,-73.9997701,"Kings County, NY",40.7584035,-73.9720314,"New York County, NY","LINESTRING(-73.9997701 40.6115165, -73.9720314 40.7584035)"
3013262,360610009001000,361031581031013,1,0,1,0,0,0,1,0,0,1,20170919,40.8675165,-73.0976269,"Suffolk County, NY",40.7055747,-74.010762,"New York County, NY","LINESTRING(-73.0976269 40.8675165, -74.010762 40.7055747)"
5371654,360810059001003,360810018001002,1,0,0,1,0,0,1,0,0,1,20170919,40.6914648,-73.8525641,"Queens County, NY",40.7587506,-73.9217021,"Queens County, NY","LINESTRING(-73.8525641 40.6914648, -73.9217021 40.7587506)"
1817535,360470533001001,360470537001003,5,3,2,0,4,1,0,0,1,4,20170919,40.7016803,-73.9598474,"Kings County, NY",40.7028461,-73.955082,"Kings County, NY","LINESTRING(-73.9598474 40.7016803, -73.955082 40.7028461)"
6408189,361031223002005,361031119004008,1,0,0,1,0,1,0,0,0,1,20170919,40.8024496,-73.4136448,"Suffolk County, NY",40.7378844,-73.4287617,"Suffolk County, NY","LINESTRING(-73.4136448 40.8024496, -73.4287617 40.7378844)"
1826542,360470538003004,360470296004001,1,0,0,1,0,1,0,0,0,1,20170919,40.59868,-73.9953659,"Kings County, NY",40.6178556,-73.958595,"Kings County, NY","LINESTRING(-73.9953659 40.59868, -73.958595 40.6178556)"
446742,360050421001000,360050129011002,1,0,1,0,0,0,1,0,0,1,20170919,40.8233887,-73.8954017,"Bronx County, NY",40.8808687,-73.8798753,"Bronx County, NY","LINESTRING(-73.8954017 40.8233887, -73.8798753 40.8808687)"
4240657,360610116001006,361190014011003,1,0,0,1,0,0,1,0,0,1,20170919,40.9297285,-73.8673619,"Westchester County, NY",40.7625331,-73.9557917,"New York County, NY","LINESTRING(-73.8673619 40.9297285, -73.9557917 40.7625331)"
7081019,361190014034003,360050210014000,1,0,1,0,1,0,0,0,1,0,20170919,40.8399776,-73.8606992,"Bronx County, NY",40.9096183,-73.8780333,"Westchester County, NY","LINESTRING(-73.8606992 40.8399776, -73.8780333 40.9096183)"
4528035,360610160014001,360610160012000,2,0,1,1,2,0,0,0,0,2,20170919,40.7852711,-73.9545359,"New York County, NY",40.7865748,-73.9556866,"New York County, NY","LINESTRING(-73.9545359 40.7852711, -73.9556866 40.7865748)"
5594391,360810497002000,360810261003001,1,0,1,0,0,1,0,1,0,0,20170919,40.7477025,-73.8997594,"Queens County, NY",40.7326346,-73.8917431,"Queens County, NY","LINESTRING(-73.8997594 40.7477025, -73.8917431 40.7326346)"
3908481,360610099001020,360470206001001,1,0,1,0,0,0,1,0,0,1,20170919,40.6263691,-74.0135927,"Kings County, NY",40.7498047,-74.0082756,"New York County, NY","LINESTRING(-74.0135927 40.6263691, -74.0082756 40.7498047)"
1458241,360470021001005,360470510012001,1,0,0,1,1,0,0,0,0,1,20170919,40.6466298,-73.9598381,"Kings County, NY",40.7029,-73.9936069,"Kings County, NY","LINESTRING(-73.9598381 40.6466298, -73.9936069 40.7029)"
